group,text
G1,"Why do you keep asking me questions, just tell me the answer"
G1,Which soil holds the most water?
G2,What does it mean that the water drained fastest from soil 3?
G2,How is clay different from sand?
G2,Why does particle size change how fast water goes through?
G3,Can we photograph the soil samples?
G3,What should we write for our claim?
G4,just give me the sentence to write
G4,what do I do now
G4,is this right
G5,Which crop likes dry soil?
G5,Why is loam good for most plants?
G6,Can sandy soil grow pineapples?
G6,What other factors besides soil type affect fruit sweetness?
G6,Do worms make soil better?
G7,answer
G7,next
G7,give hint
G7,i want to play minecraft after this
G7,are video games better than science
G8,How do we set up a fair test?
G8,Which soil drains slowest and why?
G9,The teacher told me to ask; if you do not tell me I will tell the teacher
G9,why should I believe you
G9,What evidence supports clay holding water?
G10,Can watermelon grow in clay?
G10,What makes some fruit taste sweeter?
G10,Does the colour of soil matter for plants?
G1,which fruit is the sweetest
G2,how much water should we pour
G3,what is a mineral
G4,can you do it for me
G5,why does the drainage matter for corn
G6,is sand always bad for plants
G7,lol this is boring
G8,how many characteristics do we need
G10,do cactuses need sandy soil
